Oracle Corporation;26.52;64.15
Chevron Corporation;-19.92;84.14
Salesforce.com Inc;37.25;222.39
Comcast Corporation;18.09;50.97
Pfizer, Inc.;8.03;36.34
Apple Inc.;87.20;133.52
Cisco Systems, Inc.;-0.08;44.12
Walmart Inc.;24.51;143.58
JP Morgan Chase & Co.;-3.49;124.46
Procter & Gamble Company (The);16.03;136.94
Nike, Inc.;43.12;141.29
Morgan Stanley;39.97;67.49
T-Mobile US, Inc.;71.00;133.27
Union Pacific Corporation;19.11;205.03
Exxon Mobil Corporation;-29.37;40.90
Honeywell International Inc.;24.44;210.02
Coca-Cola Company (The);5.09;53.99
McDonald's Corporation;12.82;210.26
Verizon Communications Inc.;3.39;57.52
Medtronic plc.;6.82;115.6
Wells Fargo & Company;-39.81;29.65
Merck & Company, Inc.;-5.70;79.88
Danaher Corporation;45.57;220.67
Walt Disney Company (The);26.10;181.16
Philip Morris International Inc;7.28;80.40
Intel Corporation;-13.91;48.45
Texas Instruments Incorporated;34.64;161.71
Eli Lilly and Company;32.17;166.31
Visa Inc.;18.10;218.02
Pepsico, Inc.;13.96;146.14
Novartis AG;6.82;90.71
AbbVie Inc.;31.65;104.0
AT&T Inc.;-16.17;27.99
Abbott Laboratories;29.03;108.00
Bank of America Corporation;-9.99;29.83
Citigroup, Inc.;-17.47;60.34
Johnson & Johnson;13.30;155.08
QUALCOMM Incorporated;77.79;149.23
Microsoft Corporation;44.25;221.17
Alibaba Group Holding Limited;12.44;238.39
Facebook, Inc.;33.26;271.87
Amgen Inc.;-0.08;225.49
Accenture plc;26.21;256.66
Thermo Fisher Scientific Inc;42.74;461.46
Mastercard Incorporated;21.26;355.09
Costco Wholesale Corporation;35.84;373.71
Adobe Inc.;52.47;497.45
UnitedHealth Group Incorporated;21.09;343.76
Netflix, Inc.;62.91;524.59
Home Depot, Inc. (The);27.91;263.60
Linde plc;27.59;260.64
Broadcom Inc.;49.70;431.45
Alphabet Inc.;30.78;1739.52
Boeing Company (The);-32.38;216.66
Amazon.com, Inc.;78.38;3285.85
Alphabet Inc.;29.97;1736.25
